commentCount,dislikeCount,likeCount,viewCount,commentators_uniq,comments_obscene_cnt,video_age,performer,title,music_style
1.0,1.0,25.0,1122.0,1.0,0.0,1331,2маши,Crown Plaza NOX Kazahstan live - Мария Зайцева,popsa
0.0,4.0,35.0,3476.0,,,2239,2маши,"MARIA ""Гармония"" (Tumi bhaja re mana)",popsa
7.0,3.0,98.0,4605.0,7.0,0.0,2142,2маши,"MARIA ""Cижу на диване""",popsa
6.0,8.0,43.0,3403.0,6.0,0.0,2252,2маши,"MARIA ""HARMONY"" (Tumi bhaja re mana)",popsa
7.0,10.0,89.0,5202.0,6.0,0.0,2524,2маши,"MARIA ""It happened so """,popsa
4.0,2.0,76.0,4467.0,4.0,0.0,2127,2маши,"MARIA ""WHY DID I LOVE YOU SO""",popsa
9.0,8.0,77.0,6026.0,9.0,0.0,2531,2маши,"MARIA ""Zavisimost""",popsa
9.0,5.0,101.0,9259.0,8.0,0.0,2169,2маши,"MARIA ""Всё начинается с любви""",popsa
47.0,47.0,674.0,85659.0,37.0,0.0,2031,2маши,"MARIA ""Сижу на диване""",popsa
3.0,2.0,19.0,1458.0,3.0,0.0,2194,2маши,"Maria ""Pray for Japan""",popsa
47.0,36.0,1302.0,113160.0,39.0,0.0,1057,2маши,"Будет как будет !!! #2Маши ""Мы выбираем""",popsa
0.0,1.0,53.0,2173.0,,,900,2маши,ЖИВАЯ наружная реклама !!!,popsa
2.0,10.0,97.0,36192.0,2.0,0.0,223,2маши,Интро (Теперь нас много),popsa
4.0,6.0,138.0,15320.0,4.0,0.0,699,2маши,"КАРАОКЕ #2Маши ""Звезды""",popsa
1.0,1.0,53.0,3480.0,,,1253,2маши,"Как #2Маши ""мысли"" записывали )",popsa
124.0,93.0,1965.0,210449.0,63.0,1.0,332,2маши,Как мы записывали «Красное-Белое»,popsa
1.0,1.0,23.0,1657.0,1.0,0.0,1364,2маши,Как приготовить домашние мюсли,popsa
3.0,1.0,67.0,3609.0,2.0,0.0,1035,2маши,Как это было. Слёт ангелов!!!,popsa
4.0,11.0,193.0,18483.0,1.0,1.0,1334,2маши,"Красивая песня о любви!!Маша Зайцева/Маша Шейх ""Теперь нас двое"".",popsa
50.0,138.0,1366.0,272038.0,23.0,0.0,757,2маши,Красивая песня про Маму ..,popsa
1.0,1.0,30.0,3040.0,1.0,0.0,1404,2маши,"Мария Зайцева ""I BELONG TO YOU"" cover",popsa
8.0,2.0,94.0,7593.0,6.0,0.0,1290,2маши,"Мария Зайцева ""Теряю Голову""",popsa
2.0,1.0,45.0,1902.0,2.0,0.0,1404,2маши,"Мария Зайцева ""Down on my knees """,popsa
3.0,1.0,33.0,1831.0,2.0,0.0,1291,2маши,"Мария Зайцева ""Листья летят"" репетиция",popsa
3.0,1.0,56.0,5005.0,2.0,0.0,1228,2маши,"Мария Зайцева ""Листья летят""(Романтика Романса)",popsa
58.0,63.0,1767.0,207721.0,41.0,1.0,1547,2маши,"Мария Зайцева ""Ты не моё""",popsa
4.0,3.0,73.0,11460.0,3.0,0.0,1459,2маши,"Мария Зайцева и Георгий Юфа ""Beauty and the beast"" ""ГОЛОС""",popsa
15.0,6.0,465.0,20724.0,16.0,0.0,1105,2маши,Мир Раскололся На 2 Части,popsa
5.0,4.0,132.0,11180.0,4.0,0.0,2167,2маши,Моя любимая кухня. Салат на скорую руку,popsa
3.0,7.0,83.0,21949.0,,,223,2маши,Моя музыка,popsa
16.0,12.0,271.0,12186.0,15.0,2.0,2037,2маши,НЕ МАМА ЛЮБА )))))),popsa
4.0,7.0,238.0,8941.0,4.0,0.0,923,2маши,На разрыв ... Девушка читает свой стих.,popsa
6.0,8.0,192.0,30346.0,3.0,0.0,244,2маши,Не буди,popsa
6.0,1.0,140.0,6729.0,5.0,0.0,1048,2маши,Немного Репетиционного #2Маши,popsa
1.0,2.0,66.0,3624.0,1.0,0.0,1208,2маши,"Немного репетиционного ) #2Маши ""теперь нас двое""",popsa
34.0,26.0,641.0,54854.0,18.0,2.0,1103,2маши,Одна наша суббота,popsa
3.0,2.0,56.0,4083.0,2.0,0.0,2179,2маши,Открытие кулинарной рубрики Марии Зайцевой,popsa
4.0,7.0,33.0,4214.0,4.0,0.0,2522,2маши,Очень вкусные роллы из баклажан ! Рецепт,popsa
2.0,2.0,248.0,8954.0,2.0,0.0,1264,2маши,ПОЮЩАЯ ЗЕБРА!!!!!!!,popsa
0.0,2.0,115.0,7345.0,,,976,2маши,Питер ! Дорогой ! Это тебе ;),popsa
0.0,2.0,17.0,1081.0,,,1065,2маши,Победила Вера ! :) #3,popsa
5.0,24.0,267.0,28482.0,3.0,0.0,223,2маши,Позвони мне,popsa
19.0,6.0,463.0,29560.0,15.0,0.0,911,2маши,Посидим на дорожку?? ),popsa
0.0,2.0,72.0,5744.0,,,1092,2маши,Приглашаем в гости !!,popsa
3.0,1.0,90.0,10234.0,3.0,0.0,1228,2маши,"Раздел ""Как это было"" ) # 2 Маши",popsa
34.0,51.0,663.0,61723.0,23.0,0.0,2174,2маши,"Рецепт САМОГО вкусного имбирного печенья ;). ""Моя любимая кухня""",popsa
